Track,Artist
Good Luck Babe!,Chappell Roan
Not Like Us,Kendrick Lamar
Fortnight,Taylor Swift
A Bar Song (Tipsy),Shaboozey
Birds of a Feather,Billie Eilish
Die With a Smile,Lady Gaga & Bruno Mars
Please Please Please,Sabrina Carpenter
Texas Hold 'Em,Beyoncé
